Entry Time,Exit Time,Ticker,Signal,Option Type,Strike,Entry Price,Exit Price,PnL,Exit Reason,Lot Size
2023-01-11 10:50:00+05:30,2023-01-11 10:51:00+05:30,NIFTY12JAN2317950CE,Sell,CE,17950,80.85,69.75,8324.999999999996,Take-Profit,750
2023-01-11 11:55:00+05:30,2023-01-11 11:57:00+05:30,NIFTY12JAN2317900PE,Buy,PE,17900,57.8,61.3,-2625.0,Stop-Loss,750
2023-01-11 12:20:00+05:30,2023-01-11 12:25:00+05:30,NIFTY12JAN2317900CE,Sell,CE,17900,89.5,94.6,-3824.999999999996,Stop-Loss,750
2023-01-11 12:25:00+05:30,2023-01-11 12:26:00+05:30,NIFTY12JAN2317900PE,Buy,PE,17900,56.6,59.5,-2174.999999999999,Stop-Loss,750
2023-01-11 12:40:00+05:30,2023-01-11 12:41:00+05:30,NIFTY12JAN2317900CE,Sell,CE,17900,80.35,83.15,-2100.0000000000086,Stop-Loss,750
2023-01-11 13:05:00+05:30,2023-01-11 13:06:00+05:30,NIFTY12JAN2317900PE,Buy,PE,17900,59.55,62.35,-2100.000000000003,Stop-Loss,750
2023-01-11 13:50:00+05:30,2023-01-11 13:51:00+05:30,NIFTY12JAN2317900CE,Sell,CE,17900,79.8,77.4,1799.9999999999936,Take-Profit,750
2023-01-11 14:35:00+05:30,2023-01-11 14:36:00+05:30,NIFTY12JAN2317900PE,Buy,PE,17900,58.0,53.85,3112.499999999999,Take-Profit,750
2023-01-11 15:10:00+05:30,2023-01-11 15:11:00+05:30,NIFTY12JAN2317900CE,Sell,CE,17900,66.1,62.6,2624.9999999999945,Take-Profit,750
2023-01-12 09:20:00+05:30,2023-01-12 09:21:00+05:30,NIFTY12JAN2317900PE,Buy,PE,17900,42.3,47.25,-3712.5000000000023,Stop-Loss,750
2023-01-12 09:50:00+05:30,2023-01-12 09:51:00+05:30,NIFTY12JAN2317900CE,Sell,CE,17900,42.95,43.6,-487.4999999999989,Stop-Loss,750
2023-01-12 10:50:00+05:30,2023-01-12 10:51:00+05:30,NIFTY12JAN2317850PE,Buy,PE,17850,60.3,62.3,-1500.0,Stop-Loss,750
2023-01-12 11:15:00+05:30,2023-01-12 11:16:00+05:30,NIFTY12JAN2317800CE,Sell,CE,17800,47.95,49.1,-862.499999999999,Stop-Loss,750
2023-01-12 11:35:00+05:30,2023-01-12 11:37:00+05:30,NIFTY12JAN2317800PE,Buy,PE,17800,29.1,30.95,-1387.4999999999984,Stop-Loss,750
2023-01-12 11:55:00+05:30,2023-01-12 11:57:00+05:30,NIFTY12JAN2317800CE,Sell,CE,17800,36.4,38.65,-1687.5,Stop-Loss,750
2023-01-12 12:10:00+05:30,2023-01-12 12:12:00+05:30,NIFTY12JAN2317800PE,Buy,PE,17800,33.65,32.05,1200.0000000000011,Take-Profit,750
2023-01-12 13:15:00+05:30,2023-01-12 13:16:00+05:30,NIFTY12JAN2317850CE,Sell,CE,17850,21.8,22.3,-375.0,Stop-Loss,750
2023-01-12 14:00:00+05:30,2023-01-12 14:01:00+05:30,NIFTY12JAN2317800PE,Buy,PE,17800,17.0,19.55,-1912.5000000000005,Stop-Loss,750
2023-01-12 14:45:00+05:30,2023-01-12 14:46:00+05:30,NIFTY12JAN2317850CE,Sell,CE,17850,7.25,7.75,-375.0,Stop-Loss,750
2023-01-12 15:05:00+05:30,2023-01-12 15:06:00+05:30,NIFTY12JAN2317850PE,Buy,PE,17850,6.4,3.85,1912.5000000000002,Take-Profit,750
2023-01-13 09:20:00+05:30,2023-01-13 09:21:00+05:30,NIFTY19JAN2317850CE,Sell,CE,17850,133.0,129.0,3000.0,Take-Profit,750
2023-01-13 10:25:00+05:30,2023-01-13 10:28:00+05:30,NIFTY19JAN2317800PE,Buy,PE,17800,112.0,114.25,-1687.5,Stop-Loss,750
2023-01-13 11:35:00+05:30,2023-01-13 11:38:00+05:30,NIFTY19JAN2317800CE,Sell,CE,17800,150.6,152.9,-1725.0000000000086,Stop-Loss,750
2023-01-13 11:40:00+05:30,2023-01-13 11:41:00+05:30,NIFTY19JAN2317850PE,Buy,PE,17850,121.7,124.45,-2062.5,Stop-Loss,750
2023-01-13 11:45:00+05:30,2023-01-13 11:48:00+05:30,NIFTY19JAN2317800CE,Sell,CE,17800,146.1,149.0,-2175.000000000004,Stop-Loss,750
2023-01-13 12:00:00+05:30,2023-01-13 12:01:00+05:30,NIFTY19JAN2317850PE,Buy,PE,17850,117.6,113.55,3037.4999999999977,Take-Profit,750
